fid,OBJECTID,COUNTRY,CITIES,FUA_OR_CIT,CODE2012,ITEM2012,PROD_DATE,IDENT,AREA,Pop2012,fid_2,cat,value
18,55278,IE,Dublin,IE001L1,"12210",Fast transit roads and associated land,"2018",55277-IE001L1,90051.267932899994776,"0",239107,466111,6
18,55278,IE,Dublin,IE001L1,"12210",Fast transit roads and associated land,"2018",55277-IE001L1,90051.267932899994776,"0",239118,464775,6
18,55278,IE,Dublin,IE001L1,"12210",Fast transit roads and associated land,"2018",55277-IE001L1,90051.267932899994776,"0",239124,463786,4
18,55278,IE,Dublin,IE001L1,"12210",Fast transit roads and associated land,"2018",55277-IE001L1,90051.267932899994776,"0",156504,473538,5
18,55278,IE,Dublin,IE001L1,"12210",Fast transit roads and associated land,"2018",55277-IE001L1,90051.267932899994776,"0",156507,473053,7
18,55278,IE,Dublin,IE001L1,"12210",Fast transit roads and associated land,"2018",55277-IE001L1,90051.267932899994776,"0",156511,473784,6
18,55278,IE,Dublin,IE001L1,"12210",Fast transit roads and associated land,"2018",55277-IE001L1,90051.267932899994776,"0",156519,473785,7
18,55278,IE,Dublin,IE001L1,"12210",Fast transit roads and associated land,"2018",55277-IE001L1,90051.267932899994776,"0",156521,473786,5
18,55278,IE,Dublin,IE001L1,"12210",Fast transit roads and associated land,"2018",55277-IE001L1,90051.267932899994776,"0",156524,473787,4
18,55278,IE,Dublin,IE001L1,"12210",Fast transit roads and associated land,"2018",55277-IE001L1,90051.267932899994776,"0",168378,474074,7
18,55278,IE,Dublin,IE001L1,"12210",Fast transit roads and associated land,"2018",55277-IE001L1,90051.267932899994776,"0",168377,474354,5
19,55276,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",55275-IE001L1,39209.372207000000344,"0",156333,475981,7
19,55276,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",55275-IE001L1,39209.372207000000344,"0",156500,475423,6
19,55276,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",55275-IE001L1,39209.372207000000344,"0",156527,476529,6
19,55276,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",55275-IE001L1,39209.372207000000344,"0",156528,475422,8
19,55276,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",55275-IE001L1,39209.372207000000344,"0",156457,481245,4
19,55276,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",55275-IE001L1,39209.372207000000344,"0",163109,468526,7
19,55276,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",55275-IE001L1,39209.372207000000344,"0",163111,468796,6
