fid,OBJECTID,COUNTRY,CITIES,FUA_OR_CIT,CODE2012,ITEM2012,PROD_DATE,IDENT,AREA,Pop2012,fid_2,cat,value
5,59186,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59185-IE001L1,40100.480414600002405,"56",327415,523869,10
5,59186,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59185-IE001L1,40100.480414600002405,"56",327416,523870,6
5,59186,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59185-IE001L1,40100.480414600002405,"56",327417,523678,5
5,59186,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59185-IE001L1,40100.480414600002405,"56",327418,523679,4
5,59186,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59185-IE001L1,40100.480414600002405,"56",327753,526147,5
5,59186,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59185-IE001L1,40100.480414600002405,"56",327754,525518,4
5,59186,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59185-IE001L1,40100.480414600002405,"56",327758,528167,6
5,59186,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59185-IE001L1,40100.480414600002405,"56",327761,528421,6
5,59186,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59185-IE001L1,40100.480414600002405,"56",327762,525521,4
5,59186,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59185-IE001L1,40100.480414600002405,"56",327765,526933,5
5,59186,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59185-IE001L1,40100.480414600002405,"56",327770,527736,4
5,59186,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59185-IE001L1,40100.480414600002405,"56",327771,527735,4
5,59186,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59185-IE001L1,40100.480414600002405,"56",327772,527404,5
5,59186,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59185-IE001L1,40100.480414600002405,"56",327773,525522,5
5,59186,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59185-IE001L1,40100.480414600002405,"56",327774,525520,5
